date,close,close_t1,close_t2,close_t3,re
2020/7/6,10310,10420,10050,10120,-119.6469614
2020/7/7,10500,10310,10420,10050,172.4397578
2020/7/8,10400,10500,10310,10420,-112.0564298
2020/7/9,10700,10400,10500,10310,262.3981898
2020/7/10,10700,10700,10400,10500,0.670795837
2020/7/13,10700,10700,10700,10400,-18.15487967
2020/7/14,10700,10700,10700,10700,-16.40900491
2020/7/15,10700,10700,10700,10700,-29.6867532
2020/7/16,10450,10700,10700,10700,-267.1131712
2020/7/17,10505,10450,10700,10700,22.45738304
2020/7/20,10510,10505,10450,10700,-13.14660371
2020/7/21,10500,10510,10505,10450,-20.74718933
2020/7/22,10600,10500,10510,10505,94.01963294
2020/7/23,10585,10600,10500,10510,-27.05082777
2020/7/24,10450,10585,10600,10500,-150.7938689
2020/7/27,10590,10450,10585,10600,112.1363668
2020/7/28,10685,10590,10450,10585,78.91552702
2020/7/29,10635,10685,10590,10450,-55.08845206
2020/7/30,10845,10635,10685,10590,196.8968195
2020/7/31,10920,10845,10635,10685,64.41064176
2020/8/3,10920,10920,10845,10635,-9.847054566
2020/8/4,10850,10920,10920,10845,-84.51881739
2020/8/5,10630,10850,10920,10920,-250.2464869
2020/8/6,10935,10630,10850,10920,270.139225
2020/8/7,10935,10935,10630,10850,1.278400312
2020/8/10,11090,10935,10935,10630,154.6840938
2020/8/11,11090,11090,10935,10935,3.932204024
2020/8/12,10905,11090,11090,10935,-207.9956631
2020/8/13,10900,10905,11090,11090,-33.94827208
2020/8/14,11095,10900,10905,11090,168.8306057
2020/8/17,11095,11095,10900,10905,1.599996152
2020/8/18,11125,11095,11095,10900,31.46375112
2020/8/19,11150,11125,11095,11095,13.4599039
2020/8/20,11125,11150,11125,11095,-43.54401915
2020/8/21,11190,11125,11150,11125,50.31106595
2020/8/24,11485,11190,11125,11150,284.5113584
2020/8/25,11450,11485,11190,11125,-25.79484412
2020/8/26,11490,11450,11485,11190,34.81354842
2020/8/27,11570,11490,11450,11485,65.09040204
2020/8/28,11645,11570,11490,11450,58.21061428
2020/8/31,11800,11645,11570,11490,152.9962528
2020/9/1,11795,11800,11645,11570,-3.762985027
2020/9/2,11805,11795,11800,11645,1.963478009
2020/9/3,11630,11805,11795,11800,-186.3266461
2020/9/4,11615,11630,11805,11795,-40.30179275
2020/9/7,11560,11615,11630,11805,-66.81851214
2020/9/8,11585,11560,11615,11630,16.68185705
2020/9/9,11255,11585,11560,11615,-327.2692629
2020/9/10,11400,11255,11585,11560,119.0852492
2020/9/11,11420,11400,11255,11585,16.4294588
2020/9/14,11690,11420,11400,11255,269.5681727
2020/9/15,11510,11690,11420,11400,-156.7440401
2020/9/16,11600,11510,11690,11420,70.18055936
2020/9/17,11550,11600,11510,11690,-61.61468015
2020/9/18,11700,11550,11600,11510,129.5417806
2020/9/21,11800,11700,11550,11600,106.7055449
2020/9/22,11580,11800,11700,11550,-219.6474883
2020/9/23,11485,11580,11800,11700,-113.4302891
2020/9/24,11630,11485,11580,11800,118.5308771
2020/9/25,11850,11630,11485,11580,217.6633236
2020/9/28,11905,11850,11630,11485,77.52947042
2020/9/29,11850,11905,11850,11630,-48.83172932
2020/9/30,11635,11850,11905,11850,-232.0970559
2020/10/9,12215,11635,11850,11905,546.5223525
2020/10/12,12500,12215,11635,11850,309.3343923
2020/10/13,12300,12500,12215,11635,-166.4122181
2020/10/14,12300,12300,12500,12215,-6.147243568
2020/10/15,12300,12300,12300,12500,-36.79923604
2020/10/16,13155,12300,12300,12300,840.0757603
2020/10/19,13220,13155,12300,12300,128.8880112
2020/10/20,13800,13220,13155,12300,607.4807256
2020/10/21,13700,13800,13220,13155,-65.35314666
2020/10/22,13725,13700,13800,13220,-2.813694046
2020/10/23,13685,13725,13700,13800,-47.66536598
2020/10/26,13785,13685,13725,13700,80.37261004
2020/10/27,14390,13785,13685,13725,625.1304876
2020/10/28,14955,14390,13785,13685,622.0151665
2020/10/29,14350,14955,14390,13785,-536.0809064
2020/10/30,13900,14350,14955,14390,-471.7753423
2020/11/2,13475,13900,14350,14955,-489.5767441
2020/11/3,13475,13475,13900,14350,-44.67520616
2020/11/4,13415,13475,13475,13900,-23.03236213
2020/11/5,13480,13415,13475,13475,105.8459262
2020/11/6,13425,13480,13415,13475,-14.01846788
2020/11/9,12965,13425,13480,13415,-447.2220323
2020/11/10,12615,12965,13425,13480,-372.0478344
2020/11/11,12900,12615,12965,13425,254.4017694
2020/11/12,13280,12900,12615,12965,404.4117971
2020/11/13,13390,13280,12900,12615,174.9351341
2020/11/16,13500,13390,13280,12900,147.9698514
2020/11/17,14365,13500,13390,13280,865.2699345
2020/11/18,14135,14365,13500,13390,-183.0029683
2020/11/19,14335,14135,14365,13500,205.2621007
2020/11/20,14230,14335,14135,14365,-102.7568497
2020/11/23,14610,14230,14335,14135,354.6296525
2020/11/24,14675,14610,14230,14335,109.4942862
2020/11/25,14735,14675,14610,14230,84.07680314
2020/11/26,14575,14735,14675,14610,-134.3316714
2020/11/27,15230,14575,14735,14675,648.5487627
2020/11/30,15150,15230,14575,14735,-25.06079605
2020/12/1,15180,15150,15230,14575,61.17192219
2020/12/2,15485,15180,15150,15230,327.1205525
2020/12/3,15350,15485,15180,15150,-118.2505287
2020/12/4,14615,15350,15485,15180,-710.3765284
2020/12/7,14675,14615,15350,15485,27.61696677
2020/12/8,14360,14675,14615,15350,-315.7164716
2020/12/9,14030,14360,14675,14615,-309.5263214
2020/12/10,13940,14030,14360,14675,-62.7147534
2020/12/11,14200,13940,14030,14360,271.5249331
2020/12/14,14390,14200,13940,14030,243.5717515
